"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"atm:Type_List:1                     ","Class","Type_List","1.0.0.0","atm","The Type List class provides a list of values and their value meanings.","atm","","","","","","","","","","",""
"atm:Type_List:2                      atm:type_list_identifier:1          ","Attribute","type_list_identifier","n/a","atm","The type_list_identifier attribute provides a character string which uniquely identifies the object.","atm","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"atm:Type_List:2                      atm:type:1                          ","Attribute","type","n/a","atm","The type attribute provides ...","atm","UTF8_Short_String_Collapsed","1","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
