Namespace Id (1),Name,Description,Directory Namespace Id (2),XML Schema Namespace,Namespace Prefix (3),Logical Identifier   Prefix,Schema File Name Prefix (4),Governance Level,Registration   Authority,Steward Node Name,Steward Id,Steward Lead (6),Steward (Contact),Contact Email Address,Oversight  (5),Registration Date,Name of Provider,Dictionary Exists,Registered in PDS,Registration Date in PSA
mro,Mars Reconnaissance Orbiter,Namespace for the Mars Reconnaissance Orbiter.,mro,http://pds.nasa.gov/pds4/mro/v1,mro,urn:nasa:pds:,PDS4_MRO,Mission,0001_NASA_PDS_1,MRO,geo,PDS Geo Node,Jennifer Ward,jgward at wustl.edu, ,2022-09-29,J. Ward,Yes,Yes,
near,Near Earth Asteroid Rendezvous Mission,Namespace for the Near Earth Asteroid Rendezvous Mission dictionary.,mission/near,http://pds.nasa.gov/pds4/mission/near/v1,near,urn:nasa:pds:,PDS4_NEAR,Mission,0001_NASA_PDS_1,NEAR,geo,PDS Geo Node,Kristina Lopez,klopez at psi.edu, ,2022-06-01,Kristina Lopez,Yes,Yes,
neas,Near Earth Asteroid Scout,Namespace for the Near Earth Asteroid Scout dictionary.,mission/neas,http://pds.nasa.gov/pds4/mission/neas/v1,neas,urn:nasa:pds:,PDS4_NEAS,Mission,0001_NASA_PDS_1,NEAS,sbn,PDS SBN-PSI,Carol Neese ,neese at psi.edu, ,2020-02-10,C. Nease,Yes,Yes,
nh,New Horizons Primary and Extended Missions,Namespace for the New Horizons Primary and Extended Missions dictionary.,mission/nh,http://pds.nasa.gov/pds4/mission/nh/v1,nh,urn:nasa:pds:,PDS4_NH,Mission,0001_NASA_PDS_1,NH,sbn,PDS SBN,Adeline Gicquel,agicquel at umd.edu, ,2022-03-23,A. Raugh,Yes,Yes,
ody,2001 Mars Odyssey,Namespace for the 2001 Mars Odyssey dictionary.,mission/ody,http://pds.nasa.gov/pds4/mission/ody/v1,ody,urn:nasa:pds:,PDS4_ODY,Mission,0001_NASA_PDS_1,ODY,sbn,PDS SBN,Daniel Politte,politte at wunder.wustl.edu, ,2022-06-01,Daniel Politte,Yes,Yes,
orex,OSIRIS-Rex ,Namespace for the OSIRIS-Rex dictionary.,mission/orex,http://pds.nasa.gov/pds4/mission/orex/v1,orex,urn:nasa:pds:, ,Mission,0001_NASA_PDS_1,OREX,sbn,PDS SBN-PSI,Carol Neese ,neese at psi.edu, ,2014-05-12,A. Raugh,Yes,Yes,
psyche,Psyche mission,Namespace for the Psyche dictionary.,mission/psyche,http://pds.nasa.gov/pds4/mission/psyche/v1,psyche,urn:nasa:pds:,PDS4_PSYCHE,Mission,0001_NASA_PDS_1,PSYCHE,sbn,PDS SBN-PSI,Carol Neese ,neese at psi.edu, ,2023-03-29,C. Neese ,Yes,Yes,
vgr,Voyager,Namespace for the Voyager dictionary.,mission/vgr,http://pds.nasa.gov/pds4/mission/vgr/v1,vgr,urn:nasa:pds:,PDS4_VGR,Mission,0001_NASA_PDS_1,VGR,rings,PDS Rings Node,Matthew Tiscareno,matt at seti.org, ,2022-05-19,M.  Tiscareno,Yes,Yes,
bc,BepiColombo,Namespace for the BepiColombo schema.,bc,http://psa.esa.int/psa/bc/v1,bc,urn:esa:psa,PDS4_PSA_BC,Mission,0001_ESA_PSA_1,bc,bc,bc,BepiColombo Science Ground Segment,smartinez at sciops.esa.int, ,2019-11-19,S. Martinez,Yes,No,
bc_mtm_cam,BepiColombo,Namespace for the BepiColombo MCAM schema.,,http://psa.esa.int/psa/bc/mtm/cam/v1,mcam,urn:esa:psa,PDS4_PSA_BC_MCAM,Mission,0001_ESA_PSA_1,bc,bc,bc,BepiColombo Science Ground Segment,Mark.Bentley at esa.int, ,2019-11-19,M.S. Bentley,No,No,
